Physics,Sections,CFG,mse,var_diff,FID
nophys,sec15,5,1318.0383849620819,23.925211613404066,118.0727528731637
nophys,sec25,2,109.85492687225342,27.183350416860357,118.2271930724803
nophys,sec10,6,880.3238564670086,22.392976908776266,119.37550188681378
nophys,sec25,4,861.033920097351,24.144420302898546,117.22141118268394
cossched,seccos25,2,283.3659502029419,27.81962499282268,102.1105646109036
nophys,seccos30,3,308.68881993293763,21.949369657787617,110.50647697369504
cossched,seccos10,5,1654.9949511051177,20.95090359967896,104.66862759453393
cossched,sec10,3,376.23417220115664,29.03338515270093,107.54572963820866
cossched,seccos30,6,1734.8827466964722,27.781543649676316,100.35117505601502
nophys,seccos20,6,1202.5638966560364,24.73272960520409,114.0506712549147
cossched,seccos25,6,1414.07894115448,16.70858342182188,106.85748025691983
nophys,sec30,3,258.64804916381837,25.277927194974424,109.98745283533663
nophys,sec20,2,61.87019290924072,26.301479160435946,109.15409524738466
cossched,seccos30,8,2571.289938735962,24.40893078487926,103.90702982225085
cossched,seccos10,6,2143.0570989608764,19.39445531664925,99.87134529589818
cossched,sec25,1,346.4423807144165,35.25342885972246,93.91180285718136
nophys,seccos15,2,88.19315872192382,19.000163662504796,110.6276680047257
cossched,sec25,3,523.3345287322998,28.42869016028492,101.35426182545021
cossched,sec15,8,4195.24331536293,29.25814252933345,111.01530166516207
nophys,sec30,1,65.15499916076661,41.73441225892411,108.76713313626036
cossched,seccos25,3,443.8788395166397,24.790824931147693,104.3462684600355
cossched,seccos15,4,1300.995032119751,25.09471040725323,102.4129609951589
nophys,sec25,3,449.5142527103424,22.800829721310677,112.49247414436645
cossched,sec25,4,795.3568043231965,29.74980260877727,103.95368846435403
nophys,sec20,8,1813.8400001168252,29.00310074982034,121.27189496923572
nophys,sec10,4,392.8608109474182,19.017072527419465,117.8956624754918
nophys,seccos15,1,44.11730305850506,23.219090770656543,108.01564725322176
nophys,sec20,3,350.7735116958618,28.206019362186566,116.32351041373029
nophys,seccos30,5,982.8790443897248,23.415435749033396,108.23172299845696
cossched,sec20,6,1860.9781605243684,18.389795307003002,112.80382037608948
nophys,seccos25,4,577.9649245262146,15.575654178409588,114.06150414702203
nophys,sec30,8,1565.9817071437835,27.13241118478576,120.48311539677555
cossched,sec30,7,1823.5250140666963,35.706631148439094,110.99489174043883
nophys,seccos20,1,52.52281637191773,24.08512849043954,104.30125589554363
nophys,seccos10,1,38.97207794189453,20.052669469024714,113.66195919367723
cossched,sec10,5,740.0023049354553,28.940844449039833,114.68660714948503
nophys,sec30,2,41.707176971435544,32.35380464754549,108.69463415252407
nophys,sec15,8,1673.6470190167427,30.368193819874296,123.97815497090392
nophys,seccos20,7,1285.3170050144195,27.44711341177875,116.37109599376099
cossched,sec10,2,348.3807365655899,31.36757520504052,100.98156197115698
cossched,seccos30,3,532.1070307374,32.62340349978691,102.27376971393815
nophys,sec30,5,856.6391979932785,26.151540451314485,116.69534212153454
nophys,seccos30,8,1265.4805054187775,40.55908275703166,117.52274288326535
nophys,sec20,5,1258.3178308486938,26.571798462099206,119.70793955350409
cossched,seccos20,3,789.4546825408936,23.1237544556493,102.31906408445569
cossched,seccos10,4,1280.9450330734253,21.202883752713042,103.78013546061304
nophys,sec15,6,1495.5429093956948,19.492548881450837,118.44189255249826
nophys,sec20,4,752.9685842514039,26.45677715484336,115.67103443867454
nophys,seccos20,3,346.4546977519989,20.698049324436163,111.09667702844078
cossched,sec10,1,578.1403299570084,26.284993911179054,99.12423648915515
nophys,sec10,1,38.928628301620485,21.24184191301655,105.51305946145726
nophys,seccos15,7,1320.3574235916137,26.117666442103467,121.17797960762375
nophys,seccos25,5,934.4342642307281,19.911830006164735,115.39144550479678
cossched,sec25,7,1976.4546887397767,54.242601086515855,111.07654444423429
cossched,seccos10,7,2573.226935529709,20.348064608501392,102.50099722455168
cossched,seccos20,8,3008.2335945606233,15.591099036915463,111.51977148509778
cossched,sec15,2,526.7132001876831,36.08472076510006,101.13617677336882
cossched,sec20,2,408.93805103302003,32.26127441287787,99.41126211237176
nophys,sec20,6,1672.805644917488,23.71884202194013,118.81063565729
cossched,seccos10,2,702.7470136642456,21.92183242207684,104.91576294665
nophys,seccos30,6,1144.7043002605437,29.3680220238834,112.47282038078615
nophys,seccos10,6,1185.071406364441,26.726919810217403,112.06537859844286
nophys,sec20,7,1774.488822031021,27.736680306899625,120.23336607447382
cossched,seccos25,4,765.4161396026611,20.54568245795098,101.47996806238416
cossched,sec25,8,2405.411507987976,52.94532546709928,112.59293976922292
cossched,sec30,1,364.70796899795533,39.41118743870609,95.11096332633277
cossched,sec15,3,887.5247931480408,21.53716025319708,108.27327631801566
cossched,sec30,5,1162.5878408432006,23.85536170613957,104.55319372963197
cossched,seccos25,7,1807.0360339164733,22.73007661020588,105.54171735575105
cossched,sec10,7,770.5955259323121,48.66289134866057,110.76516595199227
cossched,sec30,4,827.4246026039124,30.59103994624594,102.70372775729932
nophys,seccos10,2,122.92853097915649,23.07009973015546,111.59663026562653
nophys,seccos30,4,625.5053025722503,25.62701321538366,109.39383192221212
cossched,sec10,4,598.0099507331848,25.98297900980922,113.65761598409154
nophys,sec20,1,50.84039661884308,30.410633788459773,107.62169910648413
cossched,seccos15,6,2260.49117231369,18.057307638374148,106.42804135136264
nophys,seccos15,8,1159.3010176658631,39.272957569666545,121.42334474894676
nophys,seccos20,5,961.9112913608551,22.335665026323433,112.68818579311885
cossched,sec20,1,472.6964395046234,30.346454084414738,98.39534234083816
nophys,seccos10,5,1022.6807485580445,20.48365634334033,115.06810767377551
nophys,seccos15,5,1023.6480783462524,20.728051907854642,116.3344871561241
nophys,seccos15,3,338.48262453079224,20.133159750093718,109.58616478764864
cossched,seccos30,5,1306.821953201294,26.239629066592318,99.51485680570927
cossched,sec25,5,1150.7655388832093,30.137342068734096,106.08449303780478
nophys,seccos25,6,1144.688471031189,22.389167491258185,115.49269453902102
nophys,seccos20,8,1063.8024283885957,33.24552658055787,125.62401876316062
cossched,seccos15,7,2645.8157544136047,14.518829984971536,106.80433510296184
nophys,sec10,8,1172.4945048987865,28.11359602930067,118.88444222833569
nophys,sec25,8,2154.7058901786804,36.66013352798105,125.44785163437548
cossched,seccos20,4,1193.7676701545715,18.72770151240598,104.77185688743388
cossched,seccos15,5,1708.4860688209533,24.34478515300875,103.62742699043774
nophys,seccos30,7,1247.6010142564774,33.59346939068412,114.5963300401435
nophys,seccos20,2,97.09501552581787,19.788485961762493,111.79590339027489
nophys,seccos10,3,378.28813829421995,18.337223393469507,112.02111312359384
nophys,sec10,7,1098.776830792427,25.526690644345628,117.65788976693902
cossched,seccos20,7,2766.0776225090026,11.062783387918628,108.0701632658776
